warehouse_id,product_id,product_name,category_name,brand,unit_size,shelf_id,bin_id,zone_id,rack_id,shelf_level,slot_no,slot_capacity_units,opening_stock_units,received_units,current_stock_units,reserved_stock_units,available_stock_units,damaged_units,cost_price_rs,selling_price_rs,stock_value_rs,potential_sales_value_rs,margin_per_unit_rs,avg_weekly_demand_units,weeks_of_cover,target_stock_units,shortage_units,reorder_flag,stock_status,snapshot_date,_row_id,_source_file,_source_sheet,_staged_at
WH-KOL-001,ICE-001,Amul Vanilla Ice Cream,Ice Cream & Frozen Desserts,Amul,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B01,Z01,R01,S01,1,200,94,46,84,7,77,0,101.6,116.8,,,15.2,67.3,,,,,Healthy,2026-08-31,1,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-002,Amul Chocolate Ice Cream,Ice Cream & Frozen Desserts,Amul,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B02,Z01,R01,S01,2,200,118,45,104,9,95,0,101.6,116.8,,,15.2,87.3,,,,,Healthy,2026-08-31,2,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-003,Kwality Wall's Cornetto,Ice Cream & Frozen Desserts,Kwality Wall's,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B03,Z01,R01,S01,3,200,86,0,66,3,63,0,135.4,155.6,,,20.2,85.4,,,,,Healthy,2026-08-31,3,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-004,Kwality Wall's Magnum Classic,Ice Cream & Frozen Desserts,Kwality Wall's,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B04,Z01,R01,S01,4,200,96,7,81,5,76,0,220.0,253.2,,,33.2,86.3,,,,,Healthy,2026-08-31,4,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-005,Havmor Butterscotch Ice Cream,Ice Cream & Frozen Desserts,Havmor,80 ml,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B05,Z01,R01,S01,5,200,79,19,75,3,72,0,143.8,165.2,,,21.4,100.1,,,,,Healthy,2026-08-31,5,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-006,Havmor Mango Ice Cream,Ice Cream & Frozen Desserts,Havmor,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B01,Z01,R01,S02,1,200,98,10,94,5,89,0,143.8,165.2,,,21.4,79.1,,,,,Healthy,2026-08-31,6,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-007,Vadilal Kesar Pista Ice Cream,Ice Cream & Frozen Desserts,Vadilal,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B02,Z01,R01,S02,2,200,106,13,96,4,92,0,126.8,146.0,,,19.2,116.5,,,,,Healthy,2026-08-31,7,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-008,Naturals Tender Coconut Ice Cream,Ice Cream & Frozen Desserts,Naturals,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B03,Z01,R01,S02,3,200,91,32,87,6,81,0,186.2,214.2,,,28.0,74.6,,,,,Healthy,2026-08-31,8,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-009,Mother Dairy Strawberry Ice Cream,Ice Cream & Frozen Desserts,Mother Dairy,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B04,Z01,R01,S02,4,200,104,1,77,4,73,0,122.8,141.4,,,18.6,95.4,,,,,Healthy,2026-08-31,9,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-010,Amul Rajbhog Ice Cream,Ice Cream & Frozen Desserts,Amul,80 ml,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B05,Z01,R01,S02,5,200,88,50,88,7,81,0,101.6,116.8,,,15.2,60.5,,,,,Healthy,2026-08-31,10,inventory_stock.xlsx,Inventory_Position,2026-09-21T14:25:30.977573+00:00
