warehouse_id,product_id,shelf_id,bin_id,zone_id,rack_id,shelf_level,slot_no,slot_capacity_units,_row_id,_source_file,_source_sheet,_staged_at
WH-KOL-001,ICE-001,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B01,Z01,R01,S01,1,200,1,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-002,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B02,Z01,R01,S01,2,200,2,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-003,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B03,Z01,R01,S01,3,200,3,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-004,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B04,Z01,R01,S01,4,200,4,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-005,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B05,Z01,R01,S01,5,200,5,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-006,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B01,Z01,R01,S02,1,200,6,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-007,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B02,Z01,R01,S02,2,200,7,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-008,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B03,Z01,R01,S02,3,200,8,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-009,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B04,Z01,R01,S02,4,200,9,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-010,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B05,Z01,R01,S02,5,200,10,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-001,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B01,Z01,R01,S03,1,200,11,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-002,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B02,Z01,R01,S03,2,200,12,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-003,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B03,Z01,R01,S03,3,200,13,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-004,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B04,Z01,R01,S03,4,200,14,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-005,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B05,Z01,R01,S03,5,200,15,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-006,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B01,Z01,R01,S04,1,200,16,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-007,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B02,Z01,R01,S04,2,200,17,inventory_stock.xlsx,Product_Shelf_Assignment,2026-09-21T14:25:30.977573+00:00
