warehouse_id,picker_id,_row_id,_source_file,_source_sheet,_staged_at
WH-001,WH-001-PKR-001,1,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-002,2,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-003,3,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-004,4,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-005,5,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-006,6,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-007,7,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-008,8,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-009,9,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-010,10,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-011,11,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-012,12,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-013,13,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-014,14,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-015,15,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-016,16,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-017,17,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-018,18,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-019,19,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-020,20,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-021,21,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-022,22,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-023,23,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-024,24,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-025,25,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-026,26,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-027,27,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-028,28,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-029,29,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-030,30,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-031,31,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-032,32,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-033,33,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-034,34,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-035,35,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-036,36,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-037,37,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-038,38,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-039,39,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-040,40,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-041,41,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-042,42,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-043,43,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-044,44,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-045,45,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-046,46,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-047,47,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-048,48,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-049,49,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-001,WH-001-PKR-050,50,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-001,51,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-002,52,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-003,53,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-004,54,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-005,55,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-006,56,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-007,57,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-008,58,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-009,59,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-010,60,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-011,61,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-012,62,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-013,63,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-014,64,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-015,65,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-016,66,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-017,67,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-018,68,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-019,69,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-020,70,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-021,71,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-022,72,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-023,73,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-024,74,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-025,75,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-026,76,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-027,77,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-028,78,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-029,79,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-030,80,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-031,81,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-032,82,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-033,83,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-034,84,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-035,85,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-036,86,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-037,87,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-038,88,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-039,89,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-040,90,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-041,91,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-042,92,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-043,93,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-044,94,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-045,95,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-046,96,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
WH-002,WH-002-PKR-047,97,Warehouse_Picker_IDs_Only.csv,default,2026-09-21T17:49:15.594444+00:00
