warehouse_id,product_id,available_stock_units,avg_weekly_demand_units,weeks_of_cover,target_stock_units,shortage_units,reorder_flag,stock_status,inventory_risk,cost_price_rs,selling_price_rs,stock_cost_value_rs,available_sales_value_rs,_row_id,_source_file,_source_sheet,_staged_at
WH-KOL-001,ICE-001,77,67.3,,,,,Healthy,NORMAL,101.6,116.8,,,1,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-002,95,87.3,,,,,Healthy,NORMAL,101.6,116.8,,,2,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-003,63,85.4,,,,,Healthy,NORMAL,135.4,155.6,,,3,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-004,76,86.3,,,,,Healthy,NORMAL,220.0,253.2,,,4,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-005,72,100.1,,,,,Healthy,NORMAL,143.8,165.2,,,5,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-006,89,79.1,,,,,Healthy,NORMAL,143.8,165.2,,,6,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-007,92,116.5,,,,,Healthy,NORMAL,126.8,146.0,,,7,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-008,81,74.6,,,,,Healthy,NORMAL,186.2,214.2,,,8,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-009,73,95.4,,,,,Healthy,NORMAL,122.8,141.4,,,9,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-010,81,60.5,,,,,Healthy,NORMAL,101.6,116.8,,,10,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-001,37,7.0,,,,,Healthy,NORMAL,62.0,71.4,,,11,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-002,39,6.4,,,,,Healthy,NORMAL,62.0,71.4,,,12,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-003,49,7.6,,,,,Healthy,NORMAL,91.4,105.2,,,13,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-004,43,5.5,,,,,Healthy,NORMAL,62.0,71.4,,,14,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-005,47,5.1,,,,,Healthy,NORMAL,62.0,71.4,,,15,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-006,56,5.6,,,,,Healthy,NORMAL,62.0,71.4,,,16,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-007,43,6.3,,,,,Healthy,NORMAL,63.6,73.2,,,17,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-008,52,5.2,,,,,Healthy,NORMAL,468.0,538.2,,,18,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-009,36,6.6,,,,,Healthy,NORMAL,62.0,71.4,,,19,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-010,57,4.6,,,,,Healthy,NORMAL,62.0,71.4,,,20,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-001,69,43.6,,,,,Healthy,NORMAL,52.2,60.0,,,21,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-002,96,65.0,,,,,Healthy,NORMAL,52.2,60.0,,,22,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-003,53,16.9,,,,,Healthy,NORMAL,52.2,60.0,,,23,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-004,84,53.7,,,,,Healthy,NORMAL,52.2,60.0,,,24,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-005,55,24.5,,,,,Healthy,NORMAL,52.2,60.0,,,25,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-006,76,37.2,,,,,Healthy,NORMAL,52.2,60.0,,,26,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-007,62,23.2,,,,,Healthy,NORMAL,52.2,60.0,,,27,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-008,92,63.3,,,,,Healthy,NORMAL,52.2,60.0,,,28,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-009,103,64.3,,,,,Healthy,NORMAL,52.2,60.0,,,29,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-010,103,76.1,,,,,Healthy,NORMAL,52.2,60.0,,,30,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-001,79,108.4,,,,,Healthy,NORMAL,40.0,46.0,,,31,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-002,88,66.9,,,,,Healthy,NORMAL,40.0,46.0,,,32,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-003,93,88.3,,,,,Healthy,NORMAL,40.0,46.0,,,33,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-004,105,126.7,,,,,Healthy,NORMAL,40.0,46.0,,,34,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-005,120,110.1,,,,,Healthy,NORMAL,40.0,46.0,,,35,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-006,93,95.1,,,,,Healthy,NORMAL,40.0,46.0,,,36,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-007,78,88.0,,,,,Healthy,NORMAL,36.0,41.4,,,37,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-008,84,76.5,,,,,Healthy,NORMAL,84.8,97.4,,,38,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-009,46,26.1,,,,,Healthy,NORMAL,722.4,830.6,,,39,inventory_stock.xlsx,Inventory_Control,2026-09-21T14:25:30.977573+00:00
