location_id,product_id,week_start_date,stockout_flag,rainfall_mm,humidity_pct,temperature_c,festival_flag,holiday_flag,weather_condition,risk_source,pipeline_timestamp
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045354,0,10.6,66.6,26.7,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045718,0,0.0,67.6,27.6,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045732,0,7.0,70.2,27.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045746,0,15.6,63.0,33.3,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045753,0,11.6,64.3,32.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045760,0,20.3,78.0,33.3,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045767,0,6.1,59.6,30.7,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045774,0,15.0,68.6,28.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045781,0,14.7,64.1,31.1,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045788,0,11.5,65.2,31.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045809,0,1.4,74.4,34.6,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045823,0,8.8,77.2,33.4,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045942,0,9.0,77.8,27.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,1970-01-01 00:00:00.000045984,0,12.7,68.3,29.1,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,2024-03-10 00:00:00.000000000,0,4.8,66.2,27.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,2024-11-03 00:00:00.000000000,0,26.3,73.8,30.2,1,1,Rain,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,2024-11-10 00:00:00.000000000,0,2.9,74.0,33.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,2024-11-17 00:00:00.000000000,0,27.4,64.9,28.0,0,0,Rain,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,2.5,70.7,27.5,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,16.0,61.9,33.4,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,9.6,71.8,33.6,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,5.7,61.0,32.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,5.3,62.1,29.7,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,1.9,62.9,31.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,9.6,74.7,31.1,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,16.1,66.0,30.3,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,13.0,69.7,31.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,2.5,91.5,29.7,1,1,Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,6.0,60.8,33.1,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,8.2,66.9,30.1,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,11.2,70.2,31.1,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,7.7,56.5,30.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,8.4,72.1,25.9,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,23.2,77.4,30.2,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,14.5,63.3,35.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
KOL-LOC-001,BEV-001,,0,12.2,75.7,32.2,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T13:24:19.602587+00:00
