supplier_id,product_id,lead_time_days,supply_status,supplier_storage_capacity_units,high_lead_time,risk_source,pipeline_timestamp
SUP-KOL-001-01,ICE-001,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-002,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-003,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-004,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-005,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-006,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-007,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-008,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-009,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-010,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-001,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-002,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-003,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-004,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-005,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-006,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-007,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-008,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-009,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-010,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-001,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-002,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-003,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-004,1,Available,2300,0,SUPPLIER,2026-09-21T13:24:19.602587+00:00
