source_id,source_file,sheet_name,column_name,dtype,null_count,null_pct,unique_count,min_value,max_value,mean_value,is_date,min_date,max_date,suspicious
SRC-001,locations.csv.csv,N/A,location_id,object,0,0.0,40,,,,False,,,
SRC-001,locations.csv.csv,N/A,region_of_kolkata,object,0,0.0,40,,,,False,,,
SRC-002,products.csv,N/A,product_id,object,0,0.0,200,,,,False,,,
SRC-002,products.csv,N/A,category_code,object,0,0.0,20,,,,False,,,
SRC-002,products.csv,N/A,category_name,object,0,0.0,20,,,,False,,,
SRC-002,products.csv,N/A,product_name,object,0,0.0,200,,,,False,,,
SRC-002,products.csv,N/A,brand,object,0,0.0,98,,,,False,,,
SRC-002,products.csv,N/A,quality_level,object,0,0.0,2,,,,False,,,
SRC-002,products.csv,N/A,unit_type,object,0,0.0,4,,,,False,,,
SRC-002,products.csv,N/A,unit_size_1,object,0,0.0,12,,,,False,,,
SRC-002,products.csv,N/A,cp_1_rs,int64,0,0.0,58,8.0,408.0,46.635,False,,,
SRC-002,products.csv,N/A,sp_1_rs,int64,0,0.0,58,9.0,469.0,53.605,False,,,
SRC-002,products.csv,N/A,unit_size_2,object,0,0.0,14,,,,False,,,
SRC-002,products.csv,N/A,cp_2_rs,int64,0,0.0,71,15.0,783.0,84.305,False,,,
SRC-002,products.csv,N/A,sp_2_rs,int64,0,0.0,71,17.0,900.0,96.92,False,,,
SRC-002,products.csv,N/A,unit_size_3,object,0,0.0,13,,,,False,,,
SRC-002,products.csv,N/A,cp_3_rs,int64,0,0.0,82,21.0,1501.0,164.965,False,,,
SRC-002,products.csv,N/A,sp_3_rs,int64,0,0.0,82,24.0,1726.0,189.695,False,,,
SRC-002,products.csv,N/A,unit_size_4,object,0,0.0,13,,,,False,,,
SRC-002,products.csv,N/A,cp_4_rs,int64,0,0.0,80,35.0,3590.0,333.97,False,,,
SRC-002,products.csv,N/A,sp_4_rs,int64,0,0.0,80,40.0,4129.0,384.015,False,,,
SRC-002,products.csv,N/A,unit_size_5,object,0,0.0,13,,,,False,,,
SRC-002,products.csv,N/A,cp_5_rs,int64,0,0.0,86,65.0,10282.0,694.895,False,,,
SRC-002,products.csv,N/A,sp_5_rs,int64,0,0.0,86,75.0,11824.0,799.18,False,,,
SRC-003,Final product list.xlsx,product_master,product_id,object,0,0.0,200,,,,False,,,
SRC-003,Final product list.xlsx,product_master,category_code,object,0,0.0,20,,,,False,,,
SRC-003,Final product list.xlsx,product_master,category_name,object,0,0.0,20,,,,False,,,
SRC-003,Final product list.xlsx,product_master,product_name,object,0,0.0,200,,,,False,,,
SRC-003,Final product list.xlsx,product_master,brand,object,0,0.0,98,,,,False,,,
SRC-003,Final product list.xlsx,product_master,quality_level,object,0,0.0,2,,,,False,,,
SRC-003,Final product list.xlsx,product_master,unit_type,object,0,0.0,4,,,,False,,,
SRC-003,Final product list.xlsx,product_master,unit_size_1,object,0,0.0,12,,,,False,,,
SRC-003,Final product list.xlsx,product_master,cp_1_rs,int64,0,0.0,58,8.0,408.0,46.635,False,,,
SRC-003,Final product list.xlsx,product_master,sp_1_rs,int64,0,0.0,58,9.0,469.0,53.605,False,,,
SRC-003,Final product list.xlsx,product_master,unit_size_2,object,0,0.0,14,,,,False,,,
SRC-003,Final product list.xlsx,product_master,cp_2_rs,int64,0,0.0,71,15.0,783.0,84.305,False,,,
SRC-003,Final product list.xlsx,product_master,sp_2_rs,int64,0,0.0,71,17.0,900.0,96.92,False,,,
SRC-003,Final product list.xlsx,product_master,unit_size_3,object,0,0.0,13,,,,False,,,
SRC-003,Final product list.xlsx,product_master,cp_3_rs,int64,0,0.0,82,21.0,1501.0,164.965,False,,,
SRC-003,Final product list.xlsx,product_master,sp_3_rs,int64,0,0.0,82,24.0,1726.0,189.695,False,,,
SRC-003,Final product list.xlsx,product_master,unit_size_4,object,0,0.0,13,,,,False,,,
SRC-003,Final product list.xlsx,product_master,cp_4_rs,int64,0,0.0,80,35.0,3590.0,333.97,False,,,
SRC-003,Final product list.xlsx,product_master,sp_4_rs,int64,0,0.0,80,40.0,4129.0,384.015,False,,,
SRC-003,Final product list.xlsx,product_master,unit_size_5,object,0,0.0,13,,,,False,,,
SRC-003,Final product list.xlsx,product_master,cp_5_rs,int64,0,0.0,86,65.0,10282.0,694.895,False,,,
SRC-003,Final product list.xlsx,product_master,sp_5_rs,int64,0,0.0,86,75.0,11824.0,799.18,False,,,
SRC-003,Final product list.xlsx,category_summary,category_code,object,0,0.0,20,,,,False,,,
SRC-003,Final product list.xlsx,category_summary,category_name,object,0,0.0,20,,,,False,,,
SRC-003,Final product list.xlsx,category_summary,product_count,int64,0,0.0,1,10.0,10.0,10.0,False,,,
SRC-004,festival_calendar.csv,N/A,festival_event,object,0,0.0,15,,,,False,,,
SRC-004,festival_calendar.csv,N/A,event_date,object,0,0.0,36,,,,True,2024-02-14 00:00:00,2025-12-25 00:00:00,
SRC-004,festival_calendar.csv,N/A,year,int64,0,0.0,2,2024.0,2025.0,2024.5555555555557,False,,,
SRC-005,weather_weekly.csv,N/A,week_start_date,object,0,0.0,105,,,,True,2024-01-01 00:00:00,2025-12-29 00:00:00,
SRC-005,weather_weekly.csv,N/A,week_end_date,object,0,0.0,105,,,,True,2024-01-07 00:00:00,2025-12-31 00:00:00,
SRC-005,weather_weekly.csv,N/A,year,int64,0,0.0,2,2024.0,2025.0,2024.4952380952382,False,,,
SRC-005,weather_weekly.csv,N/A,season,object,0,0.0,5,,,,False,,,
SRC-005,weather_weekly.csv,N/A,temperature_mean_c,float64,0,0.0,63,18.6,33.6,27.23047619047619,False,,,
SRC-005,weather_weekly.csv,N/A,temperature_max_c,float64,0,0.0,69,20.8,36.3,29.47047619047619,False,,,
SRC-005,weather_weekly.csv,N/A,temperature_min_c,float64,0,0.0,66,16.1,31.4,24.83238095238095,False,,,
SRC-005,weather_weekly.csv,N/A,rainfall_mm,float64,0,0.0,72,0.0,27.7,8.047619047619047,False,,,
SRC-005,weather_weekly.csv,N/A,humidity_pct,float64,0,0.0,93,53.6,91.5,71.32666666666667,False,,,
SRC-005,weather_weekly.csv,N/A,weather_condition,object,0,0.0,3,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,demand_id,object,0,0.0,27800,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,week_start_date,object,0,0.0,144,,,,True,1970-01-01 00:00:00.000045292,2026-08-23 00:00:00,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,week_end_date,object,0,0.0,144,,,,True,1970-01-01 00:00:00.000045298,2026-08-29 00:00:00,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,year,int64,0,0.0,3,2024.0,2026.0,2024.863309352518,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,week_number,int64,0,0.0,139,1.0,139.0,70.0,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,location_id,object,0,0.0,40,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,region_of_kolkata,object,0,0.0,40,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,demand_rank,int64,0,0.0,5,1.0,5.0,3.0,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,product_id,object,0,0.0,53,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,product_name,object,0,0.0,53,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,category_name,object,0,0.0,10,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,brand,object,0,0.0,34,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,unit_size,object,0,0.0,21,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,weekday_weekend,object,0,0.0,1,,,,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,weekday_units_sold,int64,0,0.0,182,26.0,238.0,85.75064748201439,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,weekend_units_sold,int64,0,0.0,86,11.0,104.0,33.01809352517986,False,,,
SRC-006,Demand of last 2 years.xlsx,demand_training_data,units_sold,int64,0,0.0,249,38.0,325.0,118.76874100719425,False,,,
