source_id,source_file,sheet_name,column_name,unique_count,top_values
SRC-001,locations.csv.csv,N/A,location_id,40,KOL-LOC-001:1|KOL-LOC-002:1|KOL-LOC-003:1|KOL-LOC-004:1|KOL-LOC-005:1|KOL-LOC-006:1|KOL-LOC-007:1|KOL-LOC-008:1|KOL-LOC-009:1|KOL-LOC-010:1
SRC-001,locations.csv.csv,N/A,region_of_kolkata,40,Lake Gardens:1|Jadavpur:1|Dhakuria:1|Gariahat:1|Ballygunge:1|Jodhpur Park:1|Tollygunge:1|Golf Green:1|Garia:1|Kasba:1
SRC-002,products.csv,N/A,category_code,20,ICE:10|CHO:10|SNK:10|BEV:10|DAI:10|BAK:10|STP:10|FLO:10|DAL:10|OIL:10
SRC-002,products.csv,N/A,category_name,20,"Ice Cream & Frozen Desserts:10|Chocolates & Confectionery:10|Chips & Namkeen:10|Soft Drinks & Beverages:10|Dairy & Milk Products:10|Bread & Bakery:10|Rice & Staples:10|Flour, Atta & Baking Essentials:10|Pulses & Dal:10|Cooking Oil & Ghee:10"
SRC-002,products.csv,N/A,quality_level,2,Standard:124|Premium:76
SRC-002,products.csv,N/A,unit_type,4,g:143|ml:51|piece:5|dozen:1
SRC-002,products.csv,N/A,unit_size_1,12,50 g:68|500 g:33|50 ml:17|200 ml:14|100 g:12|20 g:10|80 ml:10|200 g:10|500 ml:10|250 g:10
SRC-002,products.csv,N/A,unit_size_2,14,100 g:58|1 kg:33|100 ml:17|250 g:16|125 ml:10|40 g:10|500 g:10|1 L:10|250 ml:10|90 g:10
SRC-002,products.csv,N/A,unit_size_3,13,250 g:48|2 kg:33|250 ml:27|500 ml:14|500 g:12|60 g:10|100 g:10|2 L:10|400 g:10|1 kg:10
SRC-002,products.csv,N/A,unit_size_4,13,500 g:58|5 kg:33|500 ml:27|1 kg:12|100 g:10|2 kg:10|750 ml:10|200 g:10|5 L:10|250 g:10
SRC-002,products.csv,N/A,unit_size_5,13,1 kg:48|1 L:37|10 kg:33|2 kg:12|150 g:10|5 kg:10|400 g:10|15 L:10|800 g:10|500 g:10
SRC-003,Final product list.xlsx,product_master,category_code,20,ICE:10|CHO:10|SNK:10|BEV:10|DAI:10|BAK:10|STP:10|FLO:10|DAL:10|OIL:10
SRC-003,Final product list.xlsx,product_master,category_name,20,"Ice Cream & Frozen Desserts:10|Chocolates & Confectionery:10|Chips & Namkeen:10|Soft Drinks & Beverages:10|Dairy & Milk Products:10|Bread & Bakery:10|Rice & Staples:10|Flour, Atta & Baking Essentials:10|Pulses & Dal:10|Cooking Oil & Ghee:10"
SRC-003,Final product list.xlsx,product_master,quality_level,2,Standard:124|Premium:76
SRC-003,Final product list.xlsx,product_master,unit_type,4,g:143|ml:51|piece:5|dozen:1
SRC-003,Final product list.xlsx,product_master,unit_size_1,12,50 g:68|500 g:33|50 ml:17|200 ml:14|100 g:12|20 g:10|80 ml:10|200 g:10|500 ml:10|250 g:10
SRC-003,Final product list.xlsx,product_master,unit_size_2,14,100 g:58|1 kg:33|100 ml:17|250 g:16|125 ml:10|40 g:10|500 g:10|1 L:10|250 ml:10|90 g:10
SRC-003,Final product list.xlsx,product_master,unit_size_3,13,250 g:48|2 kg:33|250 ml:27|500 ml:14|500 g:12|60 g:10|100 g:10|2 L:10|400 g:10|1 kg:10
SRC-003,Final product list.xlsx,product_master,unit_size_4,13,500 g:58|5 kg:33|500 ml:27|1 kg:12|100 g:10|2 kg:10|750 ml:10|200 g:10|5 L:10|250 g:10
SRC-003,Final product list.xlsx,product_master,unit_size_5,13,1 kg:48|1 L:37|10 kg:33|2 kg:12|150 g:10|5 kg:10|400 g:10|15 L:10|800 g:10|500 g:10
SRC-003,Final product list.xlsx,category_summary,category_code,20,ICE:1|CHO:1|SNK:1|BEV:1|DAI:1|BAK:1|STP:1|FLO:1|DAL:1|OIL:1
SRC-003,Final product list.xlsx,category_summary,category_name,20,"Ice Cream & Frozen Desserts:1|Chocolates & Confectionery:1|Chips & Namkeen:1|Soft Drinks & Beverages:1|Dairy & Milk Products:1|Bread & Bakery:1|Rice & Staples:1|Flour, Atta & Baking Essentials:1|Pulses & Dal:1|Cooking Oil & Ghee:1"
SRC-004,festival_calendar.csv,N/A,festival_event,15,Durga Puja:11|Eid-Ul-Fitr:2|Saraswati Puja:2|Poila Boishakh / Bengali New Year:2|Rath Yatra:2|Janmashtami:2|Ganesh Chaturthi:2|Durga Puja / Dashami:2|Lakshmi Puja:2|Kali Puja / Diwali:2
SRC-004,festival_calendar.csv,N/A,event_date,36,2024-02-14:1|2024-04-11:1|2024-04-14:1|2024-07-07:1|2024-08-26:1|2024-09-07:1|2024-10-07:1|2024-10-08:1|2024-10-09:1|2024-10-10:1
SRC-005,weather_weekly.csv,N/A,season,5,Winter:27|Monsoon:26|Summer:18|Autumn:18|Spring:16
SRC-005,weather_weekly.csv,N/A,weather_condition,3,Clear/Partly Cloudy:82|Cloudy:19|Rain:4
SRC-006,Demand of last 2 years.xlsx,demand_training_data,location_id,40,KOL-LOC-001:695|KOL-LOC-002:695|KOL-LOC-003:695|KOL-LOC-004:695|KOL-LOC-005:695|KOL-LOC-006:695|KOL-LOC-007:695|KOL-LOC-008:695|KOL-LOC-009:695|KOL-LOC-010:695
SRC-006,Demand of last 2 years.xlsx,demand_training_data,region_of_kolkata,40,Lake Gardens:695|Jadavpur:695|Dhakuria:695|Gariahat:695|Ballygunge:695|Jodhpur Park:695|Tollygunge:695|Golf Green:695|Garia:695|Kasba:695
SRC-006,Demand of last 2 years.xlsx,demand_training_data,category_name,10,Soft Drinks & Beverages:9292|Tea & Coffee:6444|Instant & Packaged Foods:5460|Ice Cream & Frozen Desserts:2680|Chips & Namkeen:2172|Dairy & Milk Products:1046|Fresh Vegetables:550|Biscuits & Cookies:136|Bread & Bakery:18|Fresh Fruits:2
SRC-006,Demand of last 2 years.xlsx,demand_training_data,brand,34,Coca-Cola:5864|Parle Agro:2716|Tata Tea:2685|Nestlé:1774|Quaker:1689|Kellogg's:1405|Bru:1262|Havmor:1251|Amul:1088|Nescafé:1067
SRC-006,Demand of last 2 years.xlsx,demand_training_data,unit_size,21,100 g:3040|50 g:2753|1 L:2642|500 ml:2599|500 g:2556|250 g:2499|1 kg:2456|250 ml:2390|200 ml:2029|750 ml:1883
SRC-006,Demand of last 2 years.xlsx,demand_training_data,weekday_weekend,1,Weekday:27800
SRC-006,Demand of last 2 years.xlsx,demand_training_data,festival_event,15,Saraswati Puja:600|Eid-Ul-Fitr:600|Poila Boishakh / Bengali New Year:600|Rath Yatra:600|Janmashtami:400|Ganesh Chaturthi:400|Durga Puja | Durga Puja / Dashami:400|Lakshmi Puja:400|Chhat Puja:400|Christmas:400
SRC-006,Demand of last 2 years.xlsx,demand_training_data,season,5,Winter:6800|Monsoon:6800|Spring:5400|Summer:5400|Autumn:3400
SRC-006,Demand of last 2 years.xlsx,demand_training_data,weather_condition,4,Clear/Partly Cloudy:20400|Rain:3400|Heavy Rain:2400|Cloudy:1600
SRC-006,Demand of last 2 years.xlsx,demand_training_data,data_source,2,SYNTHETIC_TRAINING:20800|SYNTHETIC_TRAINING | SUPPLIED_WEATHER | SUPPLIED_FESTIVAL | RESEARCHED_2026_FESTIVAL:7000
SRC-006,Demand of last 2 years.xlsx,demand_training_data,rank_scope,1,region-week over all 200 products:27800
SRC-006,Demand of last 2 years.xlsx,demand_training_data,rank_basis,1,units_sold DESC; sales_value_rs DESC; product_id ASC:27800
SRC-006,Demand of last 2 years.xlsx,demand_training_data,selling_unit_workbook,1,Regional_Selling_Unit_40Regions_200Products_139Weeks.xlsx:27800
SRC-006,Demand of last 2 years.xlsx,demand_training_data,reference_layer,1,regional_selling_unit_reference:27800
SRC-006,Demand of last 2 years.xlsx,demand_training_data,anchor_status,1,observed_top5_anchor:27800
SRC-007,final_demand_agent_training_2_years_kolkata.xlsx,demand_training_data,location_id,40,KOL-LOC-001:520|KOL-LOC-002:520|KOL-LOC-003:520|KOL-LOC-004:520|KOL-LOC-005:520|KOL-LOC-006:520|KOL-LOC-007:520|KOL-LOC-008:520|KOL-LOC-009:520|KOL-LOC-010:520
SRC-007,final_demand_agent_training_2_years_kolkata.xlsx,demand_training_data,region_of_kolkata,40,Lake Gardens:520|Jadavpur:520|Dhakuria:520|Gariahat:520|Ballygunge:520|Jodhpur Park:520|Tollygunge:520|Golf Green:520|Garia:520|Kasba:520
SRC-007,final_demand_agent_training_2_years_kolkata.xlsx,demand_training_data,category_name,10,Soft Drinks & Beverages:6597|Tea & Coffee:4886|Instant & Packaged Foods:4325|Ice Cream & Frozen Desserts:1832|Chips & Namkeen:1781|Dairy & Milk Products:819|Fresh Vegetables:440|Biscuits & Cookies:107|Bread & Bakery:12|Fresh Fruits:1
SRC-007,final_demand_agent_training_2_years_kolkata.xlsx,demand_training_data,brand,34,Coca-Cola:4150|Tata Tea:2039|Parle Agro:1963|Nestlé:1397|Quaker:1337|Kellogg's:1103|Bru:952|Havmor:852|Amul:850|Uncle Chipps:815
SRC-007,final_demand_agent_training_2_years_kolkata.xlsx,demand_training_data,unit_size,21,100 g:2370|50 g:2153|500 g:1997|250 g:1924|1 kg:1909|1 L:1848|500 ml:1842|250 ml:1681|200 ml:1491|750 ml:1351
SRC-007,final_demand_agent_training_2_years_kolkata.xlsx,demand_training_data,weekday_weekend,1,Weekday:20800
