warehouse_id,location_id,euclidean_distance_km,service_radius_km,service_available_flag,assignment_method,mapping_source,pipeline_timestamp
WH-KOL-001,KOL-LOC-001,0.8644,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-002,0.9586,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-003,1.384,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-004,1.8102,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-005,2.6674,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-006,0.7734,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-007,1.4833,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-008,2.2479,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-009,4.8982,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-010,3.3467,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-011,4.9411,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-012,2.7953,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-013,2.8685,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-014,4.5344,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-015,2.0589,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-016,4.7815,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-017,2.8786,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-018,3.8817,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-019,5.8975,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-020,6.8814,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-021,6.2402,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-022,7.403,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-023,6.1388,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-024,5.0869,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-025,7.5685,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-026,10.0668,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-027,9.817,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-028,11.4828,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-029,12.0659,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-030,14.2374,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-031,17.4187,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-032,10.8034,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-033,10.9858,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-034,10.8158,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-035,14.6668,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-036,17.6663,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-037,4.6111,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-038,4.1604,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-039,5.5612,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,KOL-LOC-040,5.388,18,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-001,3.7717,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-002,4.4506,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-003,2.8633,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-004,2.4085,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-005,1.5419,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-006,4.3124,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-007,5.1453,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-008,6.2132,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-009,8.5626,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-010,2.8535,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-011,6.7721,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-012,5.838,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-013,4.7152,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-014,6.8521,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-015,3.9263,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-016,3.422,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-017,3.1608,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-018,1.5293,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-019,2.2068,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-020,2.9839,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-021,2.0436,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,KOL-LOC-022,3.2066,16,Yes,haversine_vs_service_radius,DERIVED_FROM_COORDINATES,2026-09-21T14:25:30.977573+00:00
