location_id,location_name,supplier_id,supplier_type_id,supplier_type_name,supplier_latitude,supplier_longitude,distance_from_location_center_km,supplier_option_rank,service_available_flag,source_file,standardized_at,pipeline_timestamp
KOL-LOC-001,Lake Gardens,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,22.5051,88.3542,0.198,1,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-001,Lake Gardens,SUP-KOL-001-02,SUP-T02,Staples & Cooking,22.5078,88.3544,0.177,2,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-001,Lake Gardens,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,22.5055,88.3569,0.189,3,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-001,Lake Gardens,SUP-KOL-001-04,SUP-T04,Beverages,22.5076,88.3568,0.188,4,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-001,Lake Gardens,SUP-KOL-001-05,SUP-T05,"Home, Personal & Family",22.5065,88.3554,0.0,5,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-002,Jadavpur,SUP-KOL-002-01,SUP-T01,Fresh Produce & Chilled,22.49805,88.36945,0.198,1,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-002,Jadavpur,SUP-KOL-002-02,SUP-T02,Staples & Cooking,22.50075,88.36965,0.177,2,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-002,Jadavpur,SUP-KOL-002-03,SUP-T03,Packaged Foods & Bakery,22.49845,88.37215,0.189,3,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-002,Jadavpur,SUP-KOL-002-04,SUP-T04,Beverages,22.50055,88.37205,0.188,4,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-002,Jadavpur,SUP-KOL-002-05,SUP-T05,"Home, Personal & Family",22.49945,88.37065,0.0,5,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-003,Dhakuria,SUP-KOL-003-01,SUP-T01,Fresh Produce & Chilled,22.51175,88.36465,0.198,1,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-003,Dhakuria,SUP-KOL-003-02,SUP-T02,Staples & Cooking,22.51445,88.36485,0.177,2,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-003,Dhakuria,SUP-KOL-003-03,SUP-T03,Packaged Foods & Bakery,22.51215,88.36735,0.189,3,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-003,Dhakuria,SUP-KOL-003-04,SUP-T04,Beverages,22.51425,88.36725,0.188,4,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-003,Dhakuria,SUP-KOL-003-05,SUP-T05,"Home, Personal & Family",22.51315,88.36585,0.0,5,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
KOL-LOC-004,Gariahat,SUP-KOL-004-01,SUP-T01,Fresh Produce & Chilled,22.516,88.3638,0.198,1,Yes,supplier_inventory.xlsx/Area_Supplier_Options,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
