supplier_id,product_id,supplier_type_id,supplier_type_name,supplier_cost_price_rs,supplied_unit_size,supply_status,minimum_order_qty_units,max_order_qty_units,max_ship_qty_at_once_units,supplier_storage_capacity_units,vehicle_type,vehicle_count,vehicle_load_capacity_units,lead_time_days,location_id,unmapped_col_10_quarantine,feature_set,pipeline_timestamp
SUP-KOL-001-01,ICE-001,SUP-T01,Fresh Produce & Chilled,36,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,35.71,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-002,SUP-T01,Fresh Produce & Chilled,36,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,35.71,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-003,SUP-T01,Fresh Produce & Chilled,48,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,47.62,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-004,SUP-T01,Fresh Produce & Chilled,78,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,77.38,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-005,SUP-T01,Fresh Produce & Chilled,51,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,50.59,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-006,SUP-T01,Fresh Produce & Chilled,51,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,50.59,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-007,SUP-T01,Fresh Produce & Chilled,45,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,44.64,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-008,SUP-T01,Fresh Produce & Chilled,66,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,65.47,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-009,SUP-T01,Fresh Produce & Chilled,44,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,43.65,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,ICE-010,SUP-T01,Fresh Produce & Chilled,36,80 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,35.71,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-001,SUP-T01,Fresh Produce & Chilled,85,200 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,84.32,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-002,SUP-T01,Fresh Produce & Chilled,16,200 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,15.87,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-003,SUP-T01,Fresh Produce & Chilled,16,200 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,15.87,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-004,SUP-T01,Fresh Produce & Chilled,11,100 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,10.91,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-005,SUP-T01,Fresh Produce & Chilled,10,100 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,9.92,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-006,SUP-T01,Fresh Produce & Chilled,65,100 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,64.48,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-007,SUP-T01,Fresh Produce & Chilled,47,100 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,46.62,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-008,SUP-T01,Fresh Produce & Chilled,58,100 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,57.54,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-009,SUP-T01,Fresh Produce & Chilled,107,100 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,106.14,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,DAI-010,SUP-T01,Fresh Produce & Chilled,85,200 ml,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,84.32,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-001,SUP-T01,Fresh Produce & Chilled,55,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,54.56,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-002,SUP-T01,Fresh Produce & Chilled,35,1 dozen,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,34.72,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-003,SUP-T01,Fresh Produce & Chilled,40,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,39.68,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-004,SUP-T01,Fresh Produce & Chilled,24,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,23.81,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-005,SUP-T01,Fresh Produce & Chilled,21,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,20.83,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-006,SUP-T01,Fresh Produce & Chilled,16,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,15.87,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-007,SUP-T01,Fresh Produce & Chilled,55,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,54.56,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-008,SUP-T01,Fresh Produce & Chilled,55,1 piece,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,54.56,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-009,SUP-T01,Fresh Produce & Chilled,45,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,44.64,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,FRT-010,SUP-T01,Fresh Produce & Chilled,65,1 piece,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,64.48,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,VEG-001,SUP-T01,Fresh Produce & Chilled,10,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,9.92,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,VEG-002,SUP-T01,Fresh Produce & Chilled,12,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,11.9,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,VEG-003,SUP-T01,Fresh Produce & Chilled,13,250 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,12.9,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,VEG-004,SUP-T01,Fresh Produce & Chilled,14,100 g,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,13.89,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
SUP-KOL-001-01,VEG-005,SUP-T01,Fresh Produce & Chilled,50,1 piece,Available,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,KOL-LOC-001,49.6,SUPPLY_AGENT,2026-09-21T13:24:19.602587+00:00
