picker_id,warehouse_id,source_file,pipeline_timestamp
WH-001-PKR-001,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-002,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-003,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-004,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-005,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-006,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-007,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-008,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-009,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-010,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-011,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-012,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-013,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-014,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-015,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-016,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-017,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-018,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-019,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-020,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-021,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-022,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-023,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-024,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-025,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-026,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-027,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-028,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
WH-001-PKR-029,WH-KOL-001,Warehouse_Picker_IDs_Only.csv,2026-09-21T17:49:15.594444+00:00
