location_id,region_of_kolkata,city,latitude,longitude,location_name,source_file,pipeline_timestamp
KOL-LOC-001,Lake Gardens,Kolkata,22.5065,88.3554,Lake Gardens,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-002,Jadavpur,Kolkata,22.4993,88.3708,Jadavpur,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-003,Dhakuria,Kolkata,22.5133,88.3657,Dhakuria,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-004,Gariahat,Kolkata,22.5174,88.365,Gariahat,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-005,Ballygunge,Kolkata,22.5252,88.365,Ballygunge,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-006,Jodhpur Park,Kolkata,22.5004,88.3692,Jodhpur Park,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-007,Tollygunge,Kolkata,22.4955,88.3488,Tollygunge,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-008,Golf Green,Kolkata,22.4856,88.3481,Golf Green,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-009,Garia,Kolkata,22.465,88.3886,Garia,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-010,Kasba,Kolkata,22.5215,88.386,Kasba,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-011,Mukundapur,Kolkata,22.4931,88.409,Mukundapur,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-012,Santoshpur,Kolkata,22.49,88.386,Santoshpur,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
KOL-LOC-013,New Alipore,Kolkata,22.5078,88.3347,New Alipore,locations.csv.csv + supplier_inventory.xlsx/Area_Master,2026-09-21T13:22:09.034261+00:00
