warehouse_id,product_id,shelf_id,bin_id,source_file,pipeline_timestamp
WH-KOL-001,ICE-001,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B01,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-002,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B02,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-003,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B03,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-004,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B04,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-005,WH-KOL-001-Z01-R01-S01,WH-KOL-001-Z01-R01-S01-B05,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-006,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B01,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-007,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B02,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-008,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B03,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-009,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B04,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,ICE-010,WH-KOL-001-Z01-R01-S02,WH-KOL-001-Z01-R01-S02-B05,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-001,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B01,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-002,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B02,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-003,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B03,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-004,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B04,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-005,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B05,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-006,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B01,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-007,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B02,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-008,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B03,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-009,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B04,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-010,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B05,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-001,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B01,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-002,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B02,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-003,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B03,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-004,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B04,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-005,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B05,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-006,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B01,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-007,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B02,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-008,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B03,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-009,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B04,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-010,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B05,inventory_stock.xlsx/Inventory_Position,2026-09-21T14:25:30.977573+00:00
