location_id,product_id,week_start_date,stockout_flag,rainfall_mm,humidity_pct,temperature_c,festival_flag,holiday_flag,weather_condition,risk_source,pipeline_timestamp
KOL-LOC-001,BEV-001,1970-01-01,0,10.6,66.6,26.7,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,0.0,67.6,27.6,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,7.0,70.2,27.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,15.6,63.0,33.3,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,11.6,64.3,32.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,20.3,78.0,33.3,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,6.1,59.6,30.7,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,15.0,68.6,28.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,14.7,64.1,31.1,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,11.5,65.2,31.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,1.4,74.4,34.6,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,8.8,77.2,33.4,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,9.0,77.8,27.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,1970-01-01,0,12.7,68.3,29.1,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-03-10,0,4.8,66.2,27.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-03-24,0,2.5,70.7,27.5,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-03-31,0,16.0,61.9,33.4,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-04-07,0,9.6,71.8,33.6,1,1,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-04-21,0,5.7,61.0,32.8,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-05-05,0,5.3,62.1,29.7,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-05-12,0,1.9,62.9,31.0,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
KOL-LOC-001,BEV-001,2024-05-19,0,9.6,74.7,31.1,0,0,Clear/Partly Cloudy,DEMAND_OBSERVATION,2026-09-21T14:26:38.170968+00:00
